province,year,city,city_code,capacity_tons,CN_province,CN_city_name
Hunan ,2026,Changsha City,430100,100000,湖南,长沙
Fujian ,2026,Longyan City,350800,52570,福建,龙岩
Guangxi ,2026,Nanning City,450100,15300,广西,南宁
Guizhou ,2026,Tongren City,520600,6000,贵州,铜仁
Jiangxi ,2026,Yichun City (Jiangxi),360900,12000,江西,宜春
Sichuan ,2026,Zigong City,510300,30000,四川,自贡
Anhui ,2026,Chizhou City,341700,60000,安徽,池州
Jiangxi ,2026,Jiujiang City,360400,20000,江西,九江
Hunan ,2026,Changsha City,430100,4000,湖南,长沙
Jiangxi ,2026,Ganzhou City,360700,30000,江西,赣州
Hubei ,2026,Jingzhou City,421000,15000,湖北,荆州
Zhejiang ,2026,Huzhou City,330500,25000,浙江,湖州
Zhejiang ,2026,Lishui City,331100,15000,浙江,丽水
Zhejiang ,2026,Jinhua City,330700,30000,浙江,金华
Zhejiang ,2026,Hangzhou City,330100,14000,浙江,杭州
Zhejiang ,2026,Hangzhou City,330100,51320,浙江,杭州
Zhejiang ,2026,Quzhou City,330800,64680,浙江,衢州
Jiangxi ,2026,Ganzhou City,360700,10000,江西,赣州
Jiangxi ,2026,Ganzhou City,360700,40000,江西,赣州
Hubei ,2026,Jingmen City,420800,100000,湖北,荆门
