year,province,generated_tons,formal_served_tons,informal_total_tons,informal_ton_km,recovered_tons,unrecycled_tons,scenario
2027,jiangxi,32674.5881877,19641.422301748,13237.06099704,132370.6099704,32878.483298788,0.0,baseline_inprov
2027,jilin,14376.2341134,7475.641738968,6900.592374432,69005.92374432,14376.2341134,0.0,baseline_inprov
2027,liaoning,24369.2064108,0.0,24369.2064108,243692.06410800002,24369.2064108,0.0,baseline_inprov
2027,ningxia,5146.0658579,2675.954246108,2470.111611792,24701.11611792,5146.0658579,0.0,baseline_inprov
2027,qinghai,3209.90079522,0.0,3209.90079522,32099.0079522,3209.90079522,0.0,baseline_inprov
2027,shaanxi,43603.4422714,22673.789981128,20929.652290272,209296.52290272,43603.442271399996,0.0,baseline_inprov
2027,shandong,116478.296821,70836.10092468,46431.994863839995,464319.94863839995,117268.09578851999,0.0,baseline_inprov
2027,shanghai,85670.14811,10000.0,75670.14811,756701.4811,85670.14811,0.0,baseline_inprov
2027,shanxi,42140.166474,25782.0475172,16655.746722239997,166557.46722239998,42437.79423944,0.0,baseline_inprov
2027,sichuan,87532.6213528,45516.963103456,42015.65824934399,420156.58249343996,87532.6213528,0.0,baseline_inprov
2027,tianjin,37054.29253,0.0,37054.29253,370542.9253,37054.29253,0.0,baseline_inprov
2027,tibet,1024.82291471,0.0,1024.82291471,10248.2291471,1024.82291471,0.0,baseline_inprov
2027,xinjiang,14494.78082462,0.0,14494.78082462,144947.8082462,14494.78082462,0.0,baseline_inprov
2027,yunnan,33750.7828588,10000.0,23750.7828588,237507.828588,33750.7828588,0.0,baseline_inprov
2027,zhejiang,151672.2024494,97811.29750568801,55317.962807712,553179.62807712,153129.2603134,0.0,baseline_inprov
2028,anhui,86776.284438,45123.66790776,41652.61653024,416526.16530239995,86776.284438,0.0,baseline_inprov
2028,beijing,97210.05492,0.0,97210.05492,972100.5492,97210.05492,0.0,baseline_inprov
2028,chongqing,59342.55099,30858.126514800002,28484.4244752,284844.244752,59342.55099,0.0,baseline_inprov
2028,fujian,75254.102578,39132.13334056,36121.96923744,361219.6923744,75254.10257799999,0.0,baseline_inprov
2028,gansu,18166.73640456,9446.7029303712,8720.0334741888,87200.334741888,18166.73640456,0.0,baseline_inprov
2028,guangdong,384328.353161,199850.74364372002,184477.60951728,1844776.0951728,384328.35316100006,0.0,baseline_inprov
2028,guangxi,76167.5689243,39607.135840636,36560.433083664,365604.33083664,76167.5689243,0.0,baseline_inprov
2028,guizhou,48641.030558,25293.33589016,23347.694667839998,233476.94667839998,48641.030558,0.0,baseline_inprov
2028,hainan,42018.3990636,0.0,42018.3990636,420183.990636,42018.3990636,0.0,baseline_inprov
2028,hebei,150344.322254,104939.57022328001,47463.25377312,474632.5377312,152402.8239964,0.0,baseline_inprov
2028,heilongjiang,26272.275451769998,0.0,26272.275451769998,262722.7545177,26272.275451769998,0.0,baseline_inprov
2028,henan,153520.301256,79830.55665312,73689.74460288,736897.4460288,153520.301256,0.0,baseline_inprov
2028,hubei,93751.4177397,48750.737224644,45000.680515056,450006.80515056,93751.4177397,0.0,baseline_inprov
2028,hunan,81598.398719,42431.16733388,39167.23138512,391672.3138512,81598.398719,0.0,baseline_inprov
2028,inner mongolia,28342.6598705,14738.18313266,13604.47673784,136044.7673784,28342.6598705,0.0,baseline_inprov
2028,jiangsu,209282.737521,94000.0,115282.737521,1152827.37521,209282.737521,0.0,baseline_inprov
2028,jiangxi,57462.6368548,34977.209685912,22877.47628592,228774.76285919998,57854.685971832,0.0,baseline_inprov
2028,jilin,26001.5060633,13520.783152916,12480.722910383998,124807.22910383999,26001.506063299996,0.0,baseline_inprov
2028,liaoning,48977.7598443,0.0,48977.7598443,489777.598443,48977.7598443,0.0,baseline_inprov
2028,ningxia,10567.2256225,5494.9573237,5072.2682988,50722.682988,10567.2256225,0.0,baseline_inprov
2028,qinghai,6158.0828630900005,0.0,6158.0828630900005,61580.828630899996,6158.0828630900005,0.0,baseline_inprov
2028,shaanxi,67677.7877556,25000.0,42677.7877556,426777.877556,67677.7877556,0.0,baseline_inprov
2028,shandong,196897.096329,120191.54266236,78075.17309519999,780751.730952,198266.71575755998,0.0,baseline_inprov
2028,shanghai,117046.2071,10000.0,107046.2071,1070462.071,117046.2071,0.0,baseline_inprov
2028,shanxi,77726.18859599999,47799.257401999996,30494.74960416,304947.4960416,78294.00700616,0.0,baseline_inprov
2028,sichuan,136382.9972824,70919.158586848,65463.838695551996,654638.38695552,136382.9972824,0.0,baseline_inprov
2028,tianjin,50542.96562,0.0,50542.96562,505429.6562,50542.96562,0.0,baseline_inprov
2028,tibet,2036.06998235,0.0,2036.06998235,20360.6998235,2036.06998235,0.0,baseline_inprov
2028,xinjiang,29453.8639842,0.0,29453.8639842,294538.63984200003,29453.8639842,0.0,baseline_inprov
2028,yunnan,58531.696343100004,30000.0,28531.696343100004,285316.963431,58531.696343100004,0.0,baseline_inprov
2028,zhejiang,238821.031025,153424.3307818,87645.7306008,876457.3060079999,241070.0613826,0.0,baseline_inprov
2029,anhui,141354.350236,77744.89262980002,63609.4576062,636094.5760619999,141354.35023600003,0.0,baseline_inprov
2029,beijing,130001.0925,0.0,130001.0925,1300010.925,130001.0925,0.0,baseline_inprov
2029,chongqing,83032.50275,45667.876512500006,37364.62623749999,373646.26237499993,83032.50275,0.0,baseline_inprov
2029,fujian,114216.371361,62819.00424855,51397.367112449996,513973.6711245,114216.371361,0.0,baseline_inprov
2029,gansu,30989.759907,17044.367948850002,13945.391958149998,139453.91958149997,30989.759907,0.0,baseline_inprov
2029,guangdong,532494.783578,292872.13096790004,239622.6526101,2396226.5261009997,532494.783578,0.0,baseline_inprov
2029,guangxi,120647.735823,66356.25470265001,54291.48112034999,542914.8112034999,120647.735823,0.0,baseline_inprov
